Id	Name	Type	HP	Attack	Defense	Sp.Atk	Sp.Def	Speed	Generation	Legendary
491	Spiritomb	Ghost	50	92	108	92	108	35	4	0
492	Gible	Dragon	58	70	45	40	45	42	4	0
493	Gabite	Dragon	68	90	65	50	55	82	4	0
494	Garchomp	Dragon	108	130	95	80	85	102	4	0
495	GarchompMega Garchomp	Dragon	108	170	115	120	95	92	4	0
496	Munchlax	Normal	135	85	40	40	85	5	4	0
497	Riolu	Fighting	40	70	40	35	40	60	4	0
498	Lucario	Fighting	70	110	70	115	70	90	4	0
499	LucarioMega Lucario	Fighting	70	145	88	140	70	112	4	0
500	Hippopotas	Ground	68	72	78	38	42	32	4	0
501	Hippowdon	Ground	108	112	118	68	72	47	4	0
502	Skorupi	Poison	40	50	90	30	55	65	4	0
503	Drapion	Poison	70	90	110	60	75	95	4	0
504	Croagunk	Poison	48	61	40	61	40	50	4	0
505	Toxicroak	Poison	83	106	65	86	65	85	4	0
506	Carnivine	Grass	74	100	72	90	72	46	4	0
507	Finneon	Water	49	49	56	49	61	66	4	0
508	Lumineon	Water	69	69	76	69	86	91	4	0
509	Mantyke	Water	45	20	50	60	120	50	4	0
510	Snover	Grass	60	62	50	62	60	40	4	0
511	Abomasnow	Grass	90	92	75	92	85	60	4	0
512	AbomasnowMega Abomasnow	Grass	90	132	105	132	105	30	4	0
513	Weavile	Dark	70	120	65	45	85	125	4	0
514	Magnezone	Electric	70	70	115	130	90	60	4	0
515	Lickilicky	Normal	110	85	95	80	95	50	4	0
516	Rhyperior	Ground	115	140	130	55	55	40	4	0
517	Tangrowth	Grass	100	100	125	110	50	50	4	0
518	Electivire	Electric	75	123	67	95	85	95	4	0
519	Magmortar	Fire	75	95	67	125	95	83	4	0
520	Togekiss	Fairy	85	50	95	120	115	80	4	0
521	Yanmega	Bug	86	76	86	116	56	95	4	0
522	Leafeon	Grass	65	110	130	60	65	95	4	0
523	Glaceon	Ice	65	60	110	130	95	65	4	0
524	Gliscor	Ground	75	95	125	45	75	95	4	0
525	Mamoswine	Ice	110	130	80	70	60	80	4	0
526	Porygon-Z	Normal	85	80	70	135	75	90	4	0
527	Gallade	Psychic	68	125	65	65	115	80	4	0
528	GalladeMega Gallade	Psychic	68	165	95	65	115	110	4	0
529	Probopass	Rock	60	55	145	75	150	40	4	0
530	Dusknoir	Ghost	45	100	135	65	135	45	4	0
531	Froslass	Ice	70	80	70	80	70	110	4	0
532	Rotom	Electric	50	50	77	95	77	91	4	0
533	RotomHeat Rotom	Electric	50	65	107	105	107	86	4	0
534	RotomWash Rotom	Electric	50	65	107	105	107	86	4	0
535	RotomFrost Rotom	Electric	50	65	107	105	107	86	4	0
536	RotomFan Rotom	Electric	50	65	107	105	107	86	4	0
537	RotomMow Rotom	Electric	50	65	107	105	107	86	4	0
538	Uxie	Psychic	75	75	130	75	130	95	4	1
539	Mesprit	Psychic	80	105	105	105	105	80	4	1
540	Azelf	Psychic	75	125	70	125	70	115	4	1
541	Dialga	Steel	100	120	120	150	100	90	4	1
542	Palkia	Water	90	120	100	150	120	100	4	1
543	Heatran	Fire	91	90	106	130	106	77	4	1
544	Regigigas	Normal	110	160	110	80	110	100	4	1
545	GiratinaAltered Forme	Ghost	150	100	120	100	120	90	4	1
546	GiratinaOrigin Forme	Ghost	150	120	100	120	100	90	4	1
547	Cresselia	Psychic	120	70	120	75	130	85	4	0
548	Phione	Water	80	80	80	80	80	80	4	0
549	Manaphy	Water	100	100	100	100	100	100	4	0
550	Darkrai	Dark	70	90	90	135	90	125	4	1
551	ShayminLand Forme	Grass	100	100	100	100	100	100	4	1
552	ShayminSky Forme	Grass	100	103	75	120	75	127	4	1
553	Arceus	Normal	120	120	120	120	120	120	4	1
554	Victini	Psychic	100	100	100	100	100	100	5	1
555	Snivy	Grass	45	45	55	45	55	63	5	0
556	Servine	Grass	60	60	75	60	75	83	5	0
557	Serperior	Grass	75	75	95	75	95	113	5	0
558	Tepig	Fire	65	63	45	45	45	45	5	0
559	Pignite	Fire	90	93	55	70	55	55	5	0
560	Emboar	Fire	110	123	65	100	65	65	5	0
561	Oshawott	Water	55	55	45	63	45	45	5	0
562	Dewott	Water	75	75	60	83	60	60	5	0
563	Samurott	Water	95	100	85	108	70	70	5	0
564	Patrat	Normal	45	55	39	35	39	42	5	0
565	Watchog	Normal	60	85	69	60	69	77	5	0
566	Lillipup	Normal	45	60	45	25	45	55	5	0
567	Herdier	Normal	65	80	65	35	65	60	5	0
568	Stoutland	Normal	85	110	90	45	90	80	5	0
569	Purrloin	Dark	41	50	37	50	37	66	5	0
570	Liepard	Dark	64	88	50	88	50	106	5	0
571	Pansage	Grass	50	53	48	53	48	64	5	0
572	Simisage	Grass	75	98	63	98	63	101	5	0
573	Pansear	Fire	50	53	48	53	48	64	5	0
574	Simisear	Fire	75	98	63	98	63	101	5	0
575	Panpour	Water	50	53	48	53	48	64	5	0
576	Simipour	Water	75	98	63	98	63	101	5	0
577	Munna	Psychic	76	25	45	67	55	24	5	0
578	Musharna	Psychic	116	55	85	107	95	29	5	0
579	Pidove	Normal	50	55	50	36	30	43	5	0
580	Tranquill	Normal	62	77	62	50	42	65	5	0
581	Unfezant	Normal	80	115	80	65	55	93	5	0
582	Blitzle	Electric	45	60	32	50	32	76	5	0
583	Zebstrika	Electric	75	100	63	80	63	116	5	0
584	Roggenrola	Rock	55	75	85	25	25	15	5	0
585	Boldore	Rock	70	105	105	50	40	20	5	0
586	Gigalith	Rock	85	135	130	60	80	25	5	0
587	Woobat	Psychic	55	45	43	55	43	72	5	0
588	Swoobat	Psychic	67	57	55	77	55	114	5	0
589	Drilbur	Ground	60	85	40	30	45	68	5	0
590	Excadrill	Ground	110	135	60	50	65	88	5	0
591	Audino	Normal	103	60	86	60	86	50	5	0
592	AudinoMega Audino	Normal	103	60	126	80	126	50	5	0
593	Timburr	Fighting	75	80	55	25	35	35	5	0
594	Gurdurr	Fighting	85	105	85	40	50	40	5	0
595	Conkeldurr	Fighting	105	140	95	55	65	45	5	0
596	Tympole	Water	50	50	40	50	40	64	5	0
597	Palpitoad	Water	75	65	55	65	55	69	5	0
598	Seismitoad	Water	105	95	75	85	75	74	5	0
599	Throh	Fighting	120	100	85	30	85	45	5	0
600	Sawk	Fighting	75	125	75	30	75	85	5	0
601	Sewaddle	Bug	45	53	70	40	60	42	5	0
602	Swadloon	Bug	55	63	90	50	80	42	5	0
603	Leavanny	Bug	75	103	80	70	80	92	5	0
604	Venipede	Bug	30	45	59	30	39	57	5	0
605	Whirlipede	Bug	40	55	99	40	79	47	5	0
606	Scolipede	Bug	60	100	89	55	69	112	5	0
607	Cottonee	Grass	40	27	60	37	50	66	5	0
608	Whimsicott	Grass	60	67	85	77	75	116	5	0
609	Petilil	Grass	45	35	50	70	50	30	5	0
610	Lilligant	Grass	70	60	75	110	75	90	5	0
611	Basculin	Water	70	92	65	80	55	98	5	0
612	Sandile	Ground	50	72	35	35	35	65	5	0
613	Krokorok	Ground	60	82	45	45	45	74	5	0
614	Krookodile	Ground	95	117	80	65	70	92	5	0
615	Darumaka	Fire	70	90	45	15	45	50	5	0
616	DarmanitanStandard Mode	Fire	105	140	55	30	55	95	5	0
617	DarmanitanZen Mode	Fire	105	30	105	140	105	55	5	0
618	Maractus	Grass	75	86	67	106	67	60	5	0
619	Dwebble	Bug	50	65	85	35	35	55	5	0
620	Crustle	Bug	70	95	125	65	75	45	5	0
621	Scraggy	Dark	50	75	70	35	70	48	5	0
622	Scrafty	Dark	65	90	115	45	115	58	5	0
623	Sigilyph	Psychic	72	58	80	103	80	97	5	0
624	Yamask	Ghost	38	30	85	55	65	30	5	0
625	Cofagrigus	Ghost	58	50	145	95	105	30	5	0
626	Tirtouga	Water	54	78	103	53	45	22	5	0
627	Carracosta	Water	74	108	133	83	65	32	5	0
628	Archen	Rock	55	112	45	74	45	70	5	0
629	Archeops	Rock	75	140	65	112	65	110	5	0
630	Trubbish	Poison	50	50	62	40	62	65	5	0
631	Garbodor	Poison	80	95	82	60	82	75	5	0
632	Zorua	Dark	40	65	40	80	40	65	5	0
633	Zoroark	Dark	60	105	60	120	60	105	5	0
634	Minccino	Normal	55	50	40	40	40	75	5	0
635	Cinccino	Normal	75	95	60	65	60	115	5	0
636	Gothita	Psychic	45	30	50	55	65	45	5	0
637	Gothorita	Psychic	60	45	70	75	85	55	5	0
638	Gothitelle	Psychic	70	55	95	95	110	65	5	0
639	Solosis	Psychic	45	30	40	105	50	20	5	0
640	Duosion	Psychic	65	40	50	125	60	30	5	0
641	Reuniclus	Psychic	110	65	75	125	85	30	5	0
642	Ducklett	Water	62	44	50	44	50	55	5	0
643	Swanna	Water	75	87	63	87	63	98	5	0
644	Vanillite	Ice	36	50	50	65	60	44	5	0
645	Vanillish	Ice	51	65	65	80	75	59	5	0
646	Vanilluxe	Ice	71	95	85	110	95	79	5	0
647	Deerling	Normal	60	60	50	40	50	75	5	0
648	Sawsbuck	Normal	80	100	70	60	70	95	5	0
649	Emolga	Electric	55	75	60	75	60	103	5	0
650	Karrablast	Bug	50	75	45	40	45	60	5	0
651	Escavalier	Bug	70	135	105	60	105	20	5	0
652	Foongus	Grass	69	55	45	55	55	15	5	0
653	Amoonguss	Grass	114	85	70	85	80	30	5	0
654	Frillish	Water	55	40	50	65	85	40	5	0
655	Jellicent	Water	100	60	70	85	105	60	5	0
656	Alomomola	Water	165	75	80	40	45	65	5	0
657	Joltik	Bug	50	47	50	57	50	65	5	0
658	Galvantula	Bug	70	77	60	97	60	108	5	0
659	Ferroseed	Grass	44	50	91	24	86	10	5	0
660	Ferrothorn	Grass	74	94	131	54	116	20	5	0
661	Klink	Steel	40	55	70	45	60	30	5	0
662	Klang	Steel	60	80	95	70	85	50	5	0
663	Klinklang	Steel	60	100	115	70	85	90	5	0
664	Tynamo	Electric	35	55	40	45	40	60	5	0
665	Eelektrik	Electric	65	85	70	75	70	40	5	0
666	Eelektross	Electric	85	115	80	105	80	50	5	0
667	Elgyem	Psychic	55	55	55	85	55	30	5	0
668	Beheeyem	Psychic	75	75	75	125	95	40	5	0
669	Litwick	Ghost	50	30	55	65	55	20	5	0
670	Lampent	Ghost	60	40	60	95	60	55	5	0
671	Chandelure	Ghost	60	55	90	145	90	80	5	0
672	Axew	Dragon	46	87	60	30	40	57	5	0
673	Fraxure	Dragon	66	117	70	40	50	67	5	0
674	Haxorus	Dragon	76	147	90	60	70	97	5	0
675	Cubchoo	Ice	55	70	40	60	40	40	5	0
676	Beartic	Ice	95	110	80	70	80	50	5	0
677	Cryogonal	Ice	70	50	30	95	135	105	5	0
678	Shelmet	Bug	50	40	85	40	65	25	5	0
679	Accelgor	Bug	80	70	40	100	60	145	5	0
680	Stunfisk	Ground	109	66	84	81	99	32	5	0
681	Mienfoo	Fighting	45	85	50	55	50	65	5	0
682	Mienshao	Fighting	65	125	60	95	60	105	5	0
683	Druddigon	Dragon	77	120	90	60	90	48	5	0
684	Golett	Ground	59	74	50	35	50	35	5	0
685	Golurk	Ground	89	124	80	55	80	55	5	0
686	Pawniard	Dark	45	85	70	40	40	60	5	0
687	Bisharp	Dark	65	125	100	60	70	70	5	0
688	Bouffalant	Normal	95	110	95	40	95	55	5	0
689	Rufflet	Normal	70	83	50	37	50	60	5	0
690	Braviary	Normal	100	123	75	57	75	80	5	0
691	Vullaby	Dark	70	55	75	45	65	60	5	0
692	Mandibuzz	Dark	110	65	105	55	95	80	5	0
693	Heatmor	Fire	85	97	66	105	66	65	5	0
694	Durant	Bug	58	109	112	48	48	109	5	0
695	Deino	Dark	52	65	50	45	50	38	5	0
696	Zweilous	Dark	72	85	70	65	70	58	5	0
697	Hydreigon	Dark	92	105	90	125	90	98	5	0
698	Larvesta	Bug	55	85	55	50	55	60	5	0
699	Volcarona	Bug	85	60	65	135	105	100	5	0
700	Cobalion	Steel	91	90	129	90	72	108	5	1
701	Terrakion	Rock	91	129	90	72	90	108	5	1
702	Virizion	Grass	91	90	72	90	129	108	5	1
703	TornadusIncarnate Forme	Flying	79	115	70	125	80	111	5	1
704	TornadusTherian Forme	Flying	79	100	80	110	90	121	5	1
705	ThundurusIncarnate Forme	Electric	79	115	70	125	80	111	5	1
706	ThundurusTherian Forme	Electric	79	105	70	145	80	101	5	1
707	Reshiram	Dragon	100	120	100	150	120	90	5	1
708	Zekrom	Dragon	100	150	120	120	100	90	5	1
709	LandorusIncarnate Forme	Ground	89	125	90	115	80	101	5	1
710	LandorusTherian Forme	Ground	89	145	90	105	80	91	5	1
711	Kyurem	Dragon	125	130	90	130	90	95	5	1
712	KyuremBlack Kyurem	Dragon	125	170	100	120	90	95	5	1
713	KyuremWhite Kyurem	Dragon	125	120	90	170	100	95	5	1
714	KeldeoOrdinary Forme	Water	91	72	90	129	90	108	5	0
715	KeldeoResolute Forme	Water	91	72	90	129	90	108	5	0
716	MeloettaAria Forme	Normal	100	77	77	128	128	90	5	0
717	MeloettaPirouette Forme	Normal	100	128	90	77	77	128	5	0
718	Genesect	Bug	71	120	95	120	95	99	5	0
719	Chespin	Grass	56	61	65	48	45	38	6	0
720	Quilladin	Grass	61	78	95	56	58	57	6	0
721	Chesnaught	Grass	88	107	122	74	75	64	6	0
722	Fennekin	Fire	40	45	40	62	60	60	6	0
723	Braixen	Fire	59	59	58	90	70	73	6	0
724	Delphox	Fire	75	69	72	114	100	104	6	0
725	Froakie	Water	41	56	40	62	44	71	6	0
726	Frogadier	Water	54	63	52	83	56	97	6	0
727	Greninja	Water	72	95	67	103	71	122	6	0
728	Bunnelby	Normal	38	36	38	32	36	57	6	0
729	Diggersby	Normal	85	56	77	50	77	78	6	0
730	Fletchling	Normal	45	50	43	40	38	62	6	0
731	Fletchinder	Fire	62	73	55	56	52	84	6	0
732	Talonflame	Fire	78	81	71	74	69	126	6	0
733	Scatterbug	Bug	38	35	40	27	25	35	6	0
734	Spewpa	Bug	45	22	60	27	30	29	6	0
735	Vivillon	Bug	80	52	50	90	50	89	6	0
736	Litleo	Fire	62	50	58	73	54	72	6	0
737	Pyroar	Fire	86	68	72	109	66	106	6	0
738	Flab̩b̩	Fairy	44	38	39	61	79	42	6	0
739	Floette	Fairy	54	45	47	75	98	52	6	0
740	Florges	Fairy	78	65	68	112	154	75	6	0
741	Skiddo	Grass	66	65	48	62	57	52	6	0
742	Gogoat	Grass	123	100	62	97	81	68	6	0
743	Pancham	Fighting	67	82	62	46	48	43	6	0
744	Pangoro	Fighting	95	124	78	69	71	58	6	0
745	Furfrou	Normal	75	80	60	65	90	102	6	0
746	Espurr	Psychic	62	48	54	63	60	68	6	0
747	MeowsticMale	Psychic	74	48	76	83	81	104	6	0
748	MeowsticFemale	Psychic	74	48	76	83	81	104	6	0
749	Honedge	Steel	45	80	100	35	37	28	6	0
750	Doublade	Steel	59	110	150	45	49	35	6	0
751	AegislashBlade Forme	Steel	60	150	50	150	50	60	6	0
752	AegislashShield Forme	Steel	60	50	150	50	150	60	6	0
753	Spritzee	Fairy	78	52	60	63	65	23	6	0
754	Aromatisse	Fairy	101	72	72	99	89	29	6	0
755	Swirlix	Fairy	62	48	66	59	57	49	6	0
756	Slurpuff	Fairy	82	80	86	85	75	72	6	0
757	Inkay	Dark	53	54	53	37	46	45	6	0
758	Malamar	Dark	86	92	88	68	75	73	6	0
759	Binacle	Rock	42	52	67	39	56	50	6	0
760	Barbaracle	Rock	72	105	115	54	86	68	6	0
761	Skrelp	Poison	50	60	60	60	60	30	6	0
762	Dragalge	Poison	65	75	90	97	123	44	6	0
763	Clauncher	Water	50	53	62	58	63	44	6	0
764	Clawitzer	Water	71	73	88	120	89	59	6	0
765	Helioptile	Electric	44	38	33	61	43	70	6	0
766	Heliolisk	Electric	62	55	52	109	94	109	6	0
767	Tyrunt	Rock	58	89	77	45	45	48	6	0
768	Tyrantrum	Rock	82	121	119	69	59	71	6	0
769	Amaura	Rock	77	59	50	67	63	46	6	0
770	Aurorus	Rock	123	77	72	99	92	58	6	0
771	Sylveon	Fairy	95	65	65	110	130	60	6	0
772	Hawlucha	Fighting	78	92	75	74	63	118	6	0
773	Dedenne	Electric	67	58	57	81	67	101	6	0
774	Carbink	Rock	50	50	150	50	150	50	6	0
775	Goomy	Dragon	45	50	35	55	75	40	6	0
776	Sliggoo	Dragon	68	75	53	83	113	60	6	0
777	Goodra	Dragon	90	100	70	110	150	80	6	0
778	Klefki	Steel	57	80	91	80	87	75	6	0
779	Phantump	Ghost	43	70	48	50	60	38	6	0
780	Trevenant	Ghost	85	110	76	65	82	56	6	0
781	PumpkabooAverage Size	Ghost	49	66	70	44	55	51	6	0
782	PumpkabooSmall Size	Ghost	44	66	70	44	55	56	6	0
783	PumpkabooLarge Size	Ghost	54	66	70	44	55	46	6	0
784	PumpkabooSuper Size	Ghost	59	66	70	44	55	41	6	0
785	GourgeistAverage Size	Ghost	65	90	122	58	75	84	6	0
786	GourgeistSmall Size	Ghost	55	85	122	58	75	99	6	0
787	GourgeistLarge Size	Ghost	75	95	122	58	75	69	6	0
788	GourgeistSuper Size	Ghost	85	100	122	58	75	54	6	0
789	Bergmite	Ice	55	69	85	32	35	28	6	0
790	Avalugg	Ice	95	117	184	44	46	28	6	0
791	Noibat	Flying	40	30	35	45	40	55	6	0
792	Noivern	Flying	85	70	80	97	80	123	6	0
793	Xerneas	Fairy	126	131	95	131	98	99	6	1
794	Yveltal	Dark	126	131	95	131	98	99	6	1
795	Zygarde50% Forme	Dragon	108	100	121	81	95	95	6	1
796	Diancie	Rock	50	100	150	100	150	50	6	1
797	DiancieMega Diancie	Rock	50	160	110	160	110	110	6	1
798	HoopaHoopa Confined	Psychic	80	110	60	150	130	70	6	1
799	HoopaHoopa Unbound	Psychic	80	160	60	170	130	80	6	1
800	Volcanion	Fire	80	110	120	130	90	70	6	1
